ac,cal,cnl,den,gr,pe,rt10,rt20,rt30,rt60,rt90,toc
228.059,8.5620002747,16.205,1.9990999699,19.531999588,8.0059995651,1950.0,1950.0,12.150500298,101.68499756,373.09390259,0.4006
229.668,8.5802001953,16.3463,1.9759999514,21.728599548,8.0240001678,1950.0,1950.0,12.074999809,111.04840088,493.99850464,0.429
231.533,8.5680999756,16.255,1.96510005,18.432899475,8.0120000839,1950.0,1950.0,12.556500435,124.17810059,637.32458496,0.365
233.523,8.5680999756,16.3818,1.9974000454,17.335699081,8.0120000839,1950.0,1950.0,12.219900131,141.45539856,790.07977295,0.2919
235.773,8.5680999756,15.757,1.9962999821,14.044099808,8.0120000839,1950.0,1950.0,6.2083997726,165.59880066,953.13287354,0.2609
236.498,8.5740995407,15.9715,1.9958000183,14.482999802,8.017999649,1950.0,1950.0,11.942700386,189.96989441,1110.3499756,0.4176999927
235.902,8.5802001953,15.799,1.9910999537,13.935500145,8.0240001678,1950.0,1950.0,10.24960041,207.15139771,1194.8304443,0.4203999937
234.402,8.5680999756,15.158,1.9901000261,13.056400299,8.0120000839,1950.0,1950.0,4.4107999802,202.82040405,1099.5960693,0.4210000038
232.57,8.5680999756,14.573,1.9785000086,11.956999779,8.0120000839,1950.0,1950.0,6.1627998352,179.87210083,848.57373047,0.4277999997
229.431,8.5841999054,14.0983,1.97239995,10.531299591,8.0279998779,1950.0,1950.0,9.1373996735,145.21899414,601.79827881,0.4313000143
225.731,8.5620002747,14.207,1.9854999781,11.629899979,8.0059995651,1950.0,1950.0,8.554599762,116.47470093,430.16220093,0.4237000048
220.33,8.5740995407,12.1395,2.0178000927,12.729200363,8.017999649,1950.0,1950.0,4.3763999939,89.718101501,308.11068726,0.4047999978
212.76,8.5558996201,10.3815,2.0287001133,12.508000374,8.0,1950.0,1950.0,4.0497999191,80.666297913,231.32609558,0.3984000087
206.849,8.5802001953,8.7973,2.0283000469,14.330699921,8.0240001678,1950.0,1950.0,5.4478001595,72.567802429,175.7677002,0.3986999989
202.363,8.5740995407,7.141,2.0376999378,13.453000069,8.017999649,1950.0,1950.0,4.2086000443,66.905502319,143.18130493,0.3932000101
